City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,tual,-5.6667,132.75,25.36,85,77,8.5,ID,1722902843
197,crane,31.3974,-102.3501,34.81,28,45,6.54,US,1722903137
198,ilulissat,69.2167,-51.1,9.01,76,0,1.54,GL,1722903138
199,george town,5.4112,100.3354,25.96,78,40,3.6,MY,1722903002
200,taltal,-25.4,-70.4833,15.25,68,12,1.31,CL,1722903141
201,saudarkrokur,65.7461,-19.6394,9.34,92,92,0.52,IS,1722903142
202,chios,38.3678,26.1358,25.92,53,0,0.0,GR,1722903143
203,malvan,16.0667,73.4667,25.94,89,86,5.15,IN,1722903144
204,tsiombe,-25.3,45.4833,17.2,95,4,0.94,MG,1722903145
205,puerto colombia,10.9878,-74.9547,29.05,83,100,6.83,CO,1722903146
206,grand falls-windsor,48.9332,-55.6649,22.5,88,94,3.18,CA,1722902982
207,port alfred,-33.5906,26.891,12.97,63,0,3.24,ZA,1722903149
208,la passe,45.5549,-0.8967,21.13,90,0,3.0,FR,1722903150
209,ciudad melchor muzquiz,27.8833,-101.5167,35.22,24,0,7.39,MX,1722903151
210,alice springs,-23.7,133.8833,10.75,82,0,4.12,AU,1722903152
211,suzun,53.7841,82.3116,13.92,97,31,1.94,RU,1722903153
212,mareeba,-17.0,145.4333,24.16,68,7,2.12,AU,1722903154
213,jogindarnagar,31.9833,76.7667,21.73,94,100,1.72,IN,1722903155
214,kapuskasing,49.4169,-82.4331,17.79,51,91,2.8,CA,1722903156
215,embi,48.8264,58.1442,24.69,32,22,2.04,KZ,1722903158
216,alotau,-10.3069,150.4462,24.06,94,100,2.08,PG,1722903159
217,yaren,-0.5472,166.916,28.67,72,41,4.43,NR,1722903160
218,marsabit,2.3284,37.9899,18.22,60,93,6.72,KE,1722903163
219,ndelele,4.0333,14.9333,19.89,97,93,1.26,CM,1722903164
220,atafu village,-8.5421,-172.5159,28.0,73,96,2.91,TK,1722903165
221,papao,-17.75,-149.55,26.82,75,4,7.8,PF,1722903166
222,baidoa,3.1138,43.6498,20.38,81,29,5.86,SO,1722903167
223,isafjordur,66.0755,-23.124,6.92,96,100,10.09,IS,1722903168
224,tazacorte,28.629,-17.9293,22.54,93,0,5.66,ES,1722903169
225,port lincoln,-34.7333,135.8667,12.16,80,68,5.51,AU,1722903170
226,colonia,50.9333,6.95,18.86,85,0,1.03,DE,1722903171
227,inhambane,-23.865,35.3833,20.63,67,33,5.97,MZ,1722903172
228,riobamba,-1.6667,-78.6333,11.57,88,83,1.38,EC,1722903005
229,krasnyy chikoy,50.3643,108.7512,16.96,68,65,1.05,RU,1722903175
230,vikhorevka,56.1201,101.1636,17.77,67,43,1.21,RU,1722903176
231,greenacres,35.3833,-119.1098,41.19,18,0,5.66,US,1722903177
232,edd,13.9297,41.6925,31.9,70,99,3.97,ER,1722903178
233,port isabel,26.0734,-97.2086,32.05,76,0,5.14,US,1722903179
234,namibe,-15.1961,12.1522,17.84,88,83,0.32,AO,1722903181
235,tari,-11.1105,14.3559,15.24,94,73,0.88,AO,1722903182
236,nichinan,31.6,131.3667,30.14,67,4,1.17,JP,1722903183
237,almeirim,-1.5233,-52.5817,26.97,51,11,0.75,BR,1722903184
238,cascavel,-24.9558,-53.4553,20.11,48,0,2.88,BR,1722902898
239,mindelo,16.8901,-24.9804,24.99,88,95,6.2,CV,1722903186
240,bamboo flat,11.7,92.7167,26.81,81,100,5.88,IN,1722903187
241,wailea,19.8858,-155.123,27.57,78,0,5.14,US,1722903188
242,kasongo-lunda,-6.4667,16.8167,25.5,53,94,2.27,CD,1722903189
243,kavaratti,10.5669,72.642,27.46,84,100,5.8,IN,1722903190
244,buckhannon,38.994,-80.232,28.09,63,0,0.3,US,1722903191
245,siwa oasis,29.2041,25.5195,30.48,37,0,2.69,EG,1722903192
246,chul'man,56.8479,124.9104,11.53,97,100,3.92,RU,1722903193
247,mojo,8.6,39.1167,16.25,88,97,2.43,ET,1722903194
248,dobryanka,58.4619,56.4165,13.22,98,86,0.98,RU,1722903195
249,st. john's,47.5649,-52.7093,21.27,97,75,7.72,CA,1722903196
250,utrik,11.2278,169.8474,28.16,80,99,5.73,MH,1722903197
251,itoman,26.1247,127.6694,30.22,91,75,7.72,JP,1722903198
252,tofol,5.3248,163.0078,30.88,66,75,5.14,FM,1722903199
253,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.0,GF,1722903200
254,hasaki,35.7333,140.8333,30.22,78,3,3.42,JP,1722903201
255,prado,-17.3411,-39.2208,21.95,78,0,2.06,BR,1722903203
256,penzance,50.1186,-5.5371,16.38,80,95,6.28,GB,1722903204
257,nicoya,10.1483,-85.452,25.16,87,62,1.24,CR,1722903205
258,sodra sandby,56.5667,16.6167,14.94,94,37,0.84,SE,1722903206
259,lamesa,32.7376,-101.951,34.18,21,79,3.72,US,1722903207
260,mbandaka,0.0487,18.2603,22.06,81,72,1.37,CD,1722903208
261,masterton,-40.9597,175.6575,12.16,66,0,0.71,NZ,1722903209
262,college,64.8569,-147.8028,30.6,33,20,4.12,US,1722903210
263,padangsidempuan,1.3667,99.2667,21.84,97,86,0.82,ID,1722903034
264,nova sintra,14.8667,-24.7167,26.24,85,20,3.32,CV,1722903213
265,igarka,67.4667,86.5833,9.17,69,100,4.63,RU,1722903214
266,san luis de la loma,17.2706,-100.8939,28.69,78,100,1.49,MX,1722903215
267,tibanbang,6.6315,126.1055,27.69,79,96,0.77,PH,1722903216
268,fort bragg,35.139,-79.006,27.08,83,20,3.6,US,1722903010
269,arvayheer,46.2639,102.775,16.71,51,2,1.27,MN,1722903218
270,uruana,-15.4981,-49.6875,22.87,33,0,1.73,BR,1722903219
271,jamestown,42.097,-79.2353,23.9,96,20,2.57,US,1722903108
272,ulladulla,-35.35,150.4667,12.51,61,6,2.73,AU,1722903222
273,mahina,-17.5065,-149.489,26.87,74,75,10.29,PF,1722903013
274,kimbe,-5.5502,150.1429,30.57,63,92,2.03,PG,1722903013
275,kui buri,12.0828,99.8543,25.82,83,93,1.43,TH,1722903225
276,paita,-5.0892,-81.1144,18.7,77,1,8.28,PE,1722903226
277,nuuk,64.1835,-51.7216,10.34,76,100,2.06,GL,1722903080
278,anadyr,64.75,177.4833,7.28,75,40,6.0,RU,1722903228
279,jiujiang,29.7333,115.9833,29.02,68,91,1.05,CN,1722903229
280,horta,38.5333,-28.6333,24.45,92,31,2.68,PT,1722903230
281,pedernales,18.0384,-71.744,29.26,76,3,2.31,DO,1722903231
